"ID" "x_center" "y_center" "trend" "std" "x_poly1" "y_poly1" "x_poly2" "y_poly2" "x_poly3" "y_poly3" "x_poly4" "y_poly4"
  2.6000000e+001 -1.7850000e+002  1.3500000e+001 -1.1768458e+000  2.3536916e-001 -1.7900000e+002  1.3000000e+001 -1.7900000e+002  1.4000000e+001 -1.7800000e+002  1.4000000e+001 -1.7800000e+002  1.3000000e+001
  2.7000000e+001 -1.7850000e+002  1.0500000e+001 -1.2720120e+000  2.5440240e-001 -1.7900000e+002  1.0000000e+001 -1.7900000e+002  1.1000000e+001 -1.7800000e+002  1.1000000e+001 -1.7800000e+002  1.0000000e+001
  2.8000000e+001 -1.7850000e+002  7.5000000e+000 -1.3542643e+000  2.7085286e-001 -1.7900000e+002  7.0000000e+000 -1.7900000e+002  8.0000000e+000 -1.7800000e+002  8.0000000e+000 -1.7800000e+002  7.0000000e+000
  2.9000000e+001 -1.7850000e+002  4.5000000e+000 -1.4321928e+000  2.8643857e-001 -1.7900000e+002  4.0000000e+000 -1.7900000e+002  5.0000000e+000 -1.7800000e+002  5.0000000e+000 -1.7800000e+002  4.0000000e+000
  3.0000000e+001 -1.7850000e+002  1.5000000e+000 -1.4919439e+000  2.9838877e-001 -1.7900000e+002  1.0000000e+000 -1.7900000e+002  2.0000000e+000 -1.7800000e+002  2.0000000e+000 -1.7800000e+002  1.0000000e+000
  3.1000000e+001 -1.7850000e+002 -1.5000000e+000 -1.5402104e+000  3.0804208e-001 -1.7900000e+002 -2.0000000e+000 -1.7900000e+002 -1.0000000e+000 -1.7800000e+002 -1.0000000e+000 -1.7800000e+002 -2.0000000e+000
  3.2000000e+001 -1.7850000e+002 -4.5000000e+000 -1.5868854e+000  3.1737709e-001 -1.7900000e+002 -5.0000000e+000 -1.7900000e+002 -4.0000000e+000 -1.7800000e+002 -4.0000000e+000 -1.7800000e+002 -5.0000000e+000
  3.3000000e+001 -1.7850000e+002 -7.5000000e+000 -1.6185966e+000  3.2371933e-001 -1.7900000e+002 -8.0000000e+000 -1.7900000e+002 -7.0000000e+000 -1.7800000e+002 -7.0000000e+000 -1.7800000e+002 -8.0000000e+000
  3.4000000e+001 -1.7850000e+002 -1.0500000e+001 -1.6418668e+000  3.2837336e-001 -1.7900000e+002 -1.1000000e+001 -1.7900000e+002 -1.0000000e+001 -1.7800000e+002 -1.0000000e+001 -1.7800000e+002 -1.1000000e+001
  3.5000000e+001 -1.7850000e+002 -1.3500000e+001 -1.6410261e+000  3.2820521e-001 -1.7900000e+002 -1.4000000e+001 -1.7900000e+002 -1.3000000e+001 -1.7800000e+002 -1.3000000e+001 -1.7800000e+002 -1.4000000e+001
  3.6000000e+001 -1.7850000e+002 -1.6500000e+001 -1.5216449e+000  3.0432898e-001 -1.7900000e+002 -1.7000000e+001 -1.7900000e+002 -1.6000000e+001 -1.7800000e+002 -1.6000000e+001 -1.7800000e+002 -1.7000000e+001
  3.7000000e+001 -1.7850000e+002 -1.9500000e+001 -1.5844900e+000  3.1689799e-001 -1.7900000e+002 -2.0000000e+001 -1.7900000e+002 -1.9000000e+001 -1.7800000e+002 -1.9000000e+001 -1.7800000e+002 -2.0000000e+001
  3.8000000e+001 -1.7850000e+002 -2.2500000e+001 -1.5868095e+000  3.1736189e-001 -1.7900000e+002 -2.3000000e+001 -1.7900000e+002 -2.2000000e+001 -1.7800000e+002 -2.2000000e+001 -1.7800000e+002 -2.3000000e+001
  3.9000000e+001 -1.7850000e+002 -2.5500000e+001 -1.5504971e+000  3.1009942e-001 -1.7900000e+002 -2.6000000e+001 -1.7900000e+002 -2.5000000e+001 -1.7800000e+002 -2.5000000e+001 -1.7800000e+002 -2.6000000e+001
  4.0000000e+001 -1.7850000e+002 -2.8500000e+001 -1.5152612e+000  3.0305224e-001 -1.7900000e+002 -2.9000000e+001 -1.7900000e+002 -2.8000000e+001 -1.7800000e+002 -2.8000000e+001 -1.7800000e+002 -2.9000000e+001
  4.1000000e+001 -1.7850000e+002 -3.1500000e+001 -1.4887413e+000  2.9774826e-001 -1.7900000e+002 -3.2000000e+001 -1.7900000e+002 -3.1000000e+001 -1.7800000e+002 -3.1000000e+001 -1.7800000e+002 -3.2000000e+001
  4.2000000e+001 -1.7850000e+002 -3.4500000e+001 -1.5010839e+000  3.0021677e-001 -1.7900000e+002 -3.5000000e+001 -1.7900000e+002 -3.4000000e+001 -1.7800000e+002 -3.4000000e+001 -1.7800000e+002 -3.5000000e+001
  4.3000000e+001 -1.7850000e+002 -3.7500000e+001 -1.4223701e+000  2.8447402e-001 -1.7900000e+002 -3.8000000e+001 -1.7900000e+002 -3.7000000e+001 -1.7800000e+002 -3.7000000e+001 -1.7800000e+002 -3.8000000e+001
  4.4000000e+001 -1.7850000e+002 -4.0500000e+001 -1.4271630e+000  2.8543261e-001 -1.7900000e+002 -4.1000000e+001 -1.7900000e+002 -4.0000000e+001 -1.7800000e+002 -4.0000000e+001 -1.7800000e+002 -4.1000000e+001
  4.5000000e+001 -1.7850000e+002 -4.3500000e+001 -1.3707669e+000  2.7415339e-001 -1.7900000e+002 -4.4000000e+001 -1.7900000e+002 -4.3000000e+001 -1.7800000e+002 -4.3000000e+001 -1.7800000e+002 -4.4000000e+001
  4.6000000e+001 -1.7850000e+002 -4.6500000e+001 -1.3292453e+000  2.6584905e-001 -1.7900000e+002 -4.7000000e+001 -1.7900000e+002 -4.6000000e+001 -1.7800000e+002 -4.6000000e+001 -1.7800000e+002 -4.7000000e+001
  4.7000000e+001 -1.7850000e+002 -4.9500000e+001 -1.3101130e+000  2.6202261e-001 -1.7900000e+002 -5.0000000e+001 -1.7900000e+002 -4.9000000e+001 -1.7800000e+002 -4.9000000e+001 -1.7800000e+002 -5.0000000e+001
  4.8000000e+001 -1.7850000e+002 -5.2500000e+001 -1.3322781e+000  2.6645563e-001 -1.7900000e+002 -5.3000000e+001 -1.7900000e+002 -5.2000000e+001 -1.7800000e+002 -5.2000000e+001 -1.7800000e+002 -5.3000000e+001
  4.9000000e+001 -1.7850000e+002 -5.5500000e+001 -1.4087298e+000  2.8174596e-001 -1.7900000e+002 -5.6000000e+001 -1.7900000e+002 -5.5000000e+001 -1.7800000e+002 -5.5000000e+001 -1.7800000e+002 -5.6000000e+001
  5.0000000e+001 -1.7850000e+002 -5.8500000e+001 -1.5118530e+000  3.0237060e-001 -1.7900000e+002 -5.9000000e+001 -1.7900000e+002 -5.8000000e+001 -1.7800000e+002 -5.8000000e+001 -1.7800000e+002 -5.9000000e+001
  5.1000000e+001 -1.7850000e+002 -6.1500000e+001 -1.6029508e+000  3.2059015e-001 -1.7900000e+002 -6.2000000e+001 -1.7900000e+002 -6.1000000e+001 -1.7800000e+002 -6.1000000e+001 -1.7800000e+002 -6.2000000e+001
  5.2000000e+001 -1.7850000e+002 -6.4500000e+001 -1.6905506e+000  3.3811012e-001 -1.7900000e+002 -6.5000000e+001 -1.7900000e+002 -6.4000000e+001 -1.7800000e+002 -6.4000000e+001 -1.7800000e+002 -6.5000000e+001
